Supplier,SupplierSKU,Description,Pack,UOM,Price,Currency,Notes
AlphaTraders,AT-G500-BKM,"Gildan G500 Tee BLK M (Heavy Cotton)",1,EA,3.25,USD,"Exact match expected"
AlphaTraders,AT-WD10EZEX,"WD Blue 1TB 7200RPM 3.5in SATA HDD",,EA,36.90,USD,"Model WD10EZEX included"
AlphaTraders,CZ50-64GB,"SanDisk Cruzer Blade 64GB USB 3.0 Flash Drive",1,EA,6.40,USD,"USB 3.0 listed"
AlphaTraders,,"Hanes 5280 T-Shirt Black - Medium",1,EA,3.10,USD,"Missing SKU"
AlphaTraders,EVI-12x0.5L,"Still water 0.5 L x 12 EVIAN",12,BUNDLE,4.99,USD,"Units as 0.5 L"
AlphaTraders,CC-24x330,"COKE CAN 24 x 330 ml",24,CASE,11.95,USD,"Spelled COKE, spacing variations"
AlphaTraders,A4-80-REAM,"Copy Paper A4 80 g/m² 500 sheets",1,REAM,2.35,USD,"Unicode g/m²"
AlphaTraders,BIC-50-BLUE,"BIC Cristal Blue ball pen x50",50,BOX,7.10,USD,"Quantity in description"
AlphaTraders,SWI-44401,"Swingline standard stapler 44401 black",1,EA,5.85,USD,"Case-insensitive match"
AlphaTraders,MDL-NIT-M100,"Nitrile exam gloves Medium box/100",100,BOX,4.20,USD,"Slash in pack"
AlphaTraders,FACE-MASK-50,"Disposable face masks, 3 ply (box of 50)",50,BOX,2.10,USD,"Punctuation/phrasing"
AlphaTraders,HS-500ML,"Head and Shoulders Shampoo 500 ml",1,EA,3.95,USD,"Name variant"
AlphaTraders,GSR18V50,"BOSCH GSR 18V-50 cordless drill-driver",1,EA,89.00,USD,"Hyphenated"
AlphaTraders,WDS100T3B0C,"WD SN570 1 TB NVMe M.2 2280",1,EA,39.50,USD,"Alt model code"
AlphaTraders,Q2612A,"HP LaserJet 12A Black Toner (Q2612A)",1,EA,21.90,USD,"Model repeated"
AlphaTraders,MN1500-24,"AA Alkaline LR6 DURACELL x24",24,PACK,10.99,USD,"IEC code present"
AlphaTraders,UNKNOWN-LOGI-M185,"Logitech M185 Wireless Mouse",1,EA,7.99,USD,"Not in product DB -> new product"
AlphaTraders,COFFEE-ARAB-1KG,"Coffee beans 1kg - Arabica (Lavazza)",1,EA,11.50,USD,"Hyphen and brand in parens"

